"empresa","retorno","disclosure","endividamento","ativos","liquidez"
"55","Randon",29.95,6,22.5,1938,9.8
"56","Record",28.46,16,45.4,2239,8.6
"57","Sadia",21.88,7,19.6,1872,7.9
"58","Itaú Unibanco Banco",37.94,41,49.5,2996,10.5
"59","Tramontina",44.96,35,16.8,3622,12.3
"60","Tecnologia Automotiv",46.96,24,16.1,2972,9.7
"61","Vale",36.38,68,34.8,4691,8.9
"62","Votorantim",29.8,14,40,2303,8
"63","WEG",61.55,83,23.9,3967,14.3
"64","ATI Technologies",70.02,91,33.9,5450,16.8
"65","Bombardier",60.61,77,36.1,4327,15.5
"66","Celestica",52.27,90,20.8,4109,16.8
"67","Cogeco",69.97,93,14.1,4458,17
"68","Cognos",57.66,90,45.2,6498,15.8
"69","Nortel",63.92,89,31.6,4993,16
"70","Lenovo",60.61,90,24.9,6352,16.5
"71","Sinopec",81.56,98,31.5,9010,17
"72","Daewoo",46.41,58,15.2,3189,15.8
"73","Hyundai",63.13,74,17.1,3476,16
"74","Kia",37.25,81,64.9,4700,12.2
"75","LG",46.3,46,47.3,3785,11
"76","Samsung",45.49,39,22.3,2901,12.6
"77","Ssangyong",36.42,40,33.4,3872,12.6
"78","Lego",31.09,17,23.6,2597,12.2
"79","Maersk",49.28,54,31.7,3477,11.2
"80","Novozymes",33.01,27,25,2730,9.3
"81","Atento",36.01,30,28.3,3390,9.2
"82","BBVA",32.14,11,13.8,1851,10.4
"83","Gamesa",38.91,18,19,3369,9.2
"84","Iberia Linhas Aéreas",24.89,13,16.4,2509,9.5
"85","Iberdrola",32.19,20,30.4,2268,8.7
"86","Inditex",25.58,6,22.5,1938,9.8
"87","Mapfre",35.26,16,45.4,2239,8.6
"88","Santander",29.29,7,19.6,1872,7.9
"89","Telefónica",40.15,41,49.5,2996,10.5
"90","Zara",55.74,35,16.8,3622,12.3
"91","Repsol",47.02,24,16.1,2972,9.7
"92","3M",46.13,68,34.8,4691,8.9
"93","Altria",32.41,14,40,2303,8
"94","American Express",54.74,83,23.9,3967,14.3
"95","American Airlines",61.72,91,33.9,5450,16.8
"96","AMD",65.44,77,36.1,4327,15.5
"97","AOL",69.77,90,20.8,4109,16.8
"98","Apple",60.2,93,14.1,4458,17
"99","AT&T",64.32,90,45.2,6498,15.8
"100","Avon",69.95,89,31.6,4993,16
"101","BankBoston",60.26,90,24.9,6352,16.5
"102","Bank of America",72.85,98,31.5,9010,17
"103","BellSouth",44.28,58,15.2,3189,15.8
"104","Blockbuster",48.15,74,17.1,3476,16
"105","Boeing",42.14,81,64.9,4700,12.2
"106","Burger King",30.55,46,47.3,3785,11
"107","Caterpillar",35.07,39,22.3,2901,12.6
"108","ChevronTexaco",41.78,40,33.4,3872,12.6
"109","Chrysler",43.5,17,23.6,2597,12.2
"110","Cinemark",33.64,54,31.7,3477,11.2
"111","Cisco Systems",26.29,27,25,2730,9.3
"112","Colgate-Palmolive",45,30,28.3,3390,9.2
"113","Citigroup",35.31,11,13.8,1851,10.4
"114","Coca-Cola",29.11,18,19,3369,9.2
"115","CSC",40.27,13,16.4,2509,9.5
"116","Dell",29.75,20,30.4,2268,8.7
"117","Delta Air Lines",26.19,6,22.5,1938,9.8
"118","Deloitte",33.9,16,45.4,2239,8.6
"119","Dow Corning",21.03,7,19.6,1872,7.9
"120","DuPont",39.85,41,49.5,2996,10.5
"121","ExxonMobil",44.16,35,16.8,3622,12.3
"122","FedEx",45.38,24,16.1,2972,9.7
"123","Ford Motors",45.25,68,34.8,4691,8.9
"124","General Electric",33.28,14,40,2303,8
